Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]Loading weights:  50%|█████     | 52/103 [00:00<00:00, 493.18it/s]Loading weights: 100%|██████████| 103/103 [00:00<00:00, 581.17it/s]
[1mBertModel LOAD REPORT[0m from: sentence-transformers/all-MiniLM-L6-v2
Key                     | Status     |  | 
------------------------+------------+--+-
embeddings.position_ids | UNEXPECTED |  | 

[3mNotes:
- UNEXPECTED[3m	:can be ignored when loading from different task/architecture; not ok if you expect identical arch.[0m
/root/ACPs-app/venv/lib/python3.10/site-packages/networkx/readwrite/json_graph/node_link.py:287: FutureWarning: 
The default value will be changed to `edges="edges" in NetworkX 3.6.

To make this warning go away, explicitly set the edges kwarg, e.g.:

  nx.node_link_graph(data, edges="links") to preserve current behavior, or
  nx.node_link_graph(data, edges="edges") for forward compatibility.
  warnings.warn(
event=kg_graph_load_failed error='links' path=/root/DataSet/processed/knowledge_graph.json
2026-03-15 16:40:36+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-fee55197-c3db-4e65-8594-0fff62e77fb3 state=completed recommendation_count=5
2026-03-15 16:41:51+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-246f6a84-b6e9-490c-9d0c-e44f3cf11a9d state=completed recommendation_count=5
2026-03-15 16:43:14+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-7e18cebc-1e16-4116-8517-dfaf48dc5277 state=completed recommendation_count=5
2026-03-15 16:44:29+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-1eb81b62-3afc-4c8b-bd62-472a55ddd6de state=completed recommendation_count=5
2026-03-15 16:46:00+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-8c6fee43-4653-45cc-875d-6457cf5c627f state=completed recommendation_count=5
2026-03-15 16:47:27+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-dc332aa0-76ae-4ebe-912d-f5ac986acc5d state=completed recommendation_count=5
2026-03-15 16:49:05+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-5ec3ac5a-22c8-4b87-9b37-c9e588a902b8 state=completed recommendation_count=5
2026-03-15 16:50:22+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-f2ca3f5c-97a1-418d-9de1-8e607da9dec7 state=completed recommendation_count=5
2026-03-15 16:51:55+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-05a62099-f45f-4c25-9a29-8ebf301dac10 state=completed recommendation_count=5
2026-03-15 16:53:07+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-d9c8386c-8a2b-4ed5-9045-047668802280 state=completed recommendation_count=5
2026-03-15 16:54:15+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-beffc6cc-9776-42ae-86ca-f838010d2249 state=completed recommendation_count=5
2026-03-15 16:55:25+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-77a27f9a-f7e5-40f4-b164-1f6025fc0730 state=completed recommendation_count=5
2026-03-15 16:56:37+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-9b7ca179-1965-4c95-be0e-1f697b74256e state=completed recommendation_count=5
2026-03-15 16:57:43+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-94a1da86-855d-4617-9937-c9b1597b185f state=completed recommendation_count=5
2026-03-15 16:58:54+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-d26107f2-644a-4f1a-9b32-d24bfd859669 state=completed recommendation_count=5
2026-03-15 16:59:58+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-7bf1d01f-88fe-4489-b45d-4c43f69187c0 state=completed recommendation_count=5
2026-03-15 17:01:14+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-c39e5d65-1e85-46a7-84a8-06d542f75f20 state=completed recommendation_count=5
2026-03-15 17:02:24+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-97991006-a20b-4def-8930-11b7bb5fb72b state=completed recommendation_count=5
2026-03-15 17:03:33+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-7c362468-8f9d-472e-842f-e9b20f09a1bf state=completed recommendation_count=5
2026-03-15 17:04:50+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-be48b144-9c46-4b24-901b-c6466579ee74 state=completed recommendation_count=5
2026-03-15 17:05:53+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-c31d0d6f-e5f7-42c9-b0f8-1bd6095d3fd1 state=completed recommendation_count=5
2026-03-15 17:07:09+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-27aec68c-ae21-4573-8bdd-5de1bd10717a state=completed recommendation_count=5
2026-03-15 17:08:23+0800 | INFO | agent.reading_concierge | event=reading_orchestration_complete session_id=session-1a9d102d-1e5c-438b-9d22-2604b7960d85 state=completed recommendation_count=5
